rel_path,source,title,title_norm,published_raw,date_iso,cluster_size,cluster_sources_count,story_role
MC1/News Articles/Daily Pegasus/773.txt,Daily Pegasus,MEETING TO PROGRAM IN SUPPORT OF INCREASING RESPONSIBILITY OF THE GOVERNMENT,MEETING TO PROGRAM IN SUPPORT OF INCREASING RESPONSIBILITY OF THE GOVERNMENT,2012/04/10,2012-04-10,1,1,Primary
MC1/News Articles/Daily Pegasus/791.txt,Daily Pegasus,OF TEN YEARS OLD  OF THE GIRL OF ELODIS OF THE  POISONING DIES,OF TEN YEARS OLD OF THE GIRL OF ELODIS OF THE POISONING DIES,1998/08/21,1998-08-21,1,1,Primary
MC1/News Articles/Everyday News/147.txt,Everyday News,GAStech,GASTECH,2013/02/24,2013-02-24,4,4,Derivative
MC1/News Articles/Everyday News/2.txt,Everyday News,Global boxes of the charity of dren of the disasters,GLOBAL BOXES OF THE CHARITY OF DREN OF THE DISASTERS,1999/11/16,1999-11-16,1,1,Primary
MC1/News Articles/Everyday News/200.txt,Everyday News,4 of March of 2010,4 OF MARCH OF 2010,2014/03/26,2014-03-26,1,1,Primary
MC1/News Articles/Everyday News/201.txt,Everyday News,"The protectors of Kronos de Kronos declared ""group of the terrorist""","THE PROTECTORS OF KRONOS DE KRONOS DECLARED ""GROUP OF THE TERRORIST""",2009/02/23,2009-02-23,1,1,Primary
MC1/News Articles/Everyday News/214.txt,Everyday News,Central paper of the center in the industry of the gas of Tethan,CENTRAL PAPER OF THE CENTER IN THE INDUSTRY OF THE GAS OF TETHAN,1982/10/03,1982-10-03,1,1,Primary
MC1/News Articles/Everyday News/234.txt,Everyday News,2014/03/26,2014/03/26,21 October 2013,2013-10-21,2,2,Primary
MC1/News Articles/Everyday News/332.txt,Everyday News,Four people have died in a crash of the way near Elodis,FOUR PEOPLE HAVE DIED IN A CRASH OF THE WAY NEAR ELODIS,2007/03/19,2007-03-19,1,1,Primary
MC1/News Articles/Everyday News/343.txt,Everyday News,The police of Abila breaks itself for above will seat dice returned violent in presidential,THE POLICE OF ABILA BREAKS ITSELF FOR ABOVE WILL SEAT DICE RETURNED VIOLENT IN PRESIDENTIAL,2012/06/21,2012-06-21,1,1,Primary
MC1/News Articles/Everyday News/387.txt,Everyday News,Profile:  Elian Karel,PROFILE: ELIAN KAREL,2009/06/23,2009-06-23,6,6,Derivative
MC1/News Articles/Everyday News/460.txt,Everyday News,Kidnapped employees of GASTech in Kronos,KIDNAPPED EMPLOYEES OF GASTECH IN KRONOS,2014/01/21,2014-01-21,1,1,Primary
MC1/News Articles/Everyday News/496.txt,Everyday News,The pioneer of the gas of the slate plans first wells outside coast of the world in the Mediterranean Sea,THE PIONEER OF THE GAS OF THE SLATE PLANS FIRST WELLS OUTSIDE COAST OF THE WORLD IN THE MEDITERRANEAN SEA,1984/05/05,1984-05-05,1,1,Primary
MC1/News Articles/Everyday News/608.txt,Everyday News,The protests of Kronos explode in violence,THE PROTESTS OF KRONOS EXPLODE IN VIOLENCE,2013/11/13,2013-11-13,1,1,Primary
MC1/News Articles/Everyday News/656.txt,Everyday News,Penetration of an expert: prospering like foreign CEO in Kronos,PENETRATION OF AN EXPERT: PROSPERING LIKE FOREIGN CEO IN KRONOS,2014/03/26,2014-03-26,1,1,Primary
MC1/News Articles/Everyday News/80.txt,Everyday News,"The industry of the oil and the gas of Kronos has noticed that it faces his ""greater challenge of 20 years"" of due to the low levels of the exploration.","THE INDUSTRY OF THE OIL AND THE GAS OF KRONOS HAS NOTICED THAT IT FACES HIS ""GREATER CHALLENGE OF 20 YEARS"" OF DUE TO THE LOW LEVELS OF THE EXPLORATION.",2012/02/22,2012-02-22,1,1,Primary
MC1/News Articles/Everyday News/93.txt,Everyday News,Hospitals of Abila that see the affluence of the designer drug users,HOSPITALS OF ABILA THAT SEE THE AFFLUENCE OF THE DESIGNER DRUG USERS,2013/02/09,2013-02-09,1,1,Primary
MC1/News Articles/Homeland Illumination/10.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/110.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,21 January 2014,2014-01-21,37,1,Derivative
MC1/News Articles/Homeland Illumination/128.txt,Homeland Illumination,A CELEBRATION OF UNFETTERED KLEPTOCRACY,A CELEBRATION OF UNFETTERED KLEPTOCRACY,19 January 2014,2014-01-19,3,3,Primary
MC1/News Articles/Homeland Illumination/134.txt,Homeland Illumination,"TAX MEASURE DEFEATED, POK EFFORTS STALLED","TAX MEASURE DEFEATED, POK EFFORTS STALLED",22 March 2001,2001-03-22,3,3,Primary
MC1/News Articles/Homeland Illumination/144.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/161.txt,Homeland Illumination,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,20 June 2011,2011-06-20,4,3,Primary
MC1/News Articles/Homeland Illumination/172.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/18.txt,Homeland Illumination,POK REMEMBERS MARTYRED LEADER,POK REMEMBERS MARTYRED LEADER,20 June 2012,2012-06-20,4,4,Primary
MC1/News Articles/Homeland Illumination/215.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/221.txt,Homeland Illumination,POK PROTESTS END IN ARRESTS,POK PROTESTS END IN ARRESTS,05 April 2005,2005-04-05,3,3,Primary
MC1/News Articles/Homeland Illumination/225.txt,Homeland Illumination,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,20 June 2011,2011-06-20,4,3,Primary
MC1/News Articles/Homeland Illumination/254.txt,Homeland Illumination,ELODIS PUBLIC HEALTH FACT SHEET - UPDATE,ELODIS PUBLIC HEALTH FACT SHEET - UPDATE,31 May 2000,2000-05-31,2,2,Primary
MC1/News Articles/Homeland Illumination/283.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/290.txt,Homeland Illumination,WHO BRINGS A GUN TO A SIT IN?,WHO BRINGS A GUN TO A SIT IN?,20 June 2013,2013-06-20,2,2,Primary
MC1/News Articles/Homeland Illumination/293.txt,Homeland Illumination,TEN-YEAR OLD ELODIS GIRL DIES OF POISONING,TEN-YEAR OLD ELODIS GIRL DIES OF POISONING,19 August 1998,1998-08-19,2,2,Primary
MC1/News Articles/Homeland Illumination/294.txt,Homeland Illumination,POK LEADER KAREL ARRESTED,POK LEADER KAREL ARRESTED,12 March 2009,2009-03-12,4,3,Primary
MC1/News Articles/Homeland Illumination/297.txt,Homeland Illumination,ELODIS PUBLIC HEALTH FACT SHEET 2002,ELODIS PUBLIC HEALTH FACT SHEET 2002,25 May 2002,2002-05-25,2,2,Primary
MC1/News Articles/Homeland Illumination/313.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/33.txt,Homeland Illumination,Maha Salo,MAHA SALO,PROTESTS SWELL IN ABILA IN RESPONSE TO CALLS TO ACTION,,1,1,Primary
MC1/News Articles/Homeland Illumination/348.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/35.txt,Homeland Illumination,"ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME? Part Three","ELODIS, KRONOS: WILL THE GOVERNMENT RESPOND IN TIME? PART THREE",15 May 1998,1998-05-15,1,1,Primary
MC1/News Articles/Homeland Illumination/350.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/358.txt,Homeland Illumination,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,RALLY SCHEDULED IN SUPPORT OF INCREASED GOVERNMENT ACCOUNTABILITY,9 April 2012,2012-04-09,3,3,Primary
MC1/News Articles/Homeland Illumination/366.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/399.txt,Homeland Illumination,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,POK REPRESENTATIVES MEET WITH KRONOS MINISTER OF HEALTH,14 November 1998,1998-11-14,3,3,Primary
MC1/News Articles/Homeland Illumination/407.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,21 January 2014,2014-01-21,37,1,Derivative
MC1/News Articles/Homeland Illumination/415.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/426.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/427.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/437.txt,Homeland Illumination,POK LEADER KAREL ARRESTED,POK LEADER KAREL ARRESTED,12 March 2009,2009-03-12,4,3,Primary
MC1/News Articles/Homeland Illumination/468.txt,Homeland Illumination,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,MINISTER OF HEALTH TO PROPOSE SOLUTION TO TOWN POISONING,7 July 1999,1999-07-07,3,3,Primary
MC1/News Articles/Homeland Illumination/470.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/484.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/502.txt,Homeland Illumination,"ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two","ELODIS, KRONOS: HELP FROM AN UNEXPECTED SOURCE PART TWO",25 April 1998,1998-04-25,2,2,Primary
MC1/News Articles/Homeland Illumination/522.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/537.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/556.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,21 January 2014,2014-01-21,37,1,Derivative
MC1/News Articles/Homeland Illumination/563.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/567.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/579.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,21 January 2014,2014-01-21,37,1,Derivative
MC1/News Articles/Homeland Illumination/583.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,21 January 2014,2014-01-21,37,1,Derivative
MC1/News Articles/Homeland Illumination/592.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/609.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/616.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/625.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/627.txt,Homeland Illumination,ELODIS PUBLIC HEALTH FACT SHEET,ELODIS PUBLIC HEALTH FACT SHEET,15 May 1998,1998-05-15,3,3,Primary
MC1/News Articles/Homeland Illumination/658.txt,Homeland Illumination,POK MEMBERS ARRESTED,POK MEMBERS ARRESTED,31 August 2001,2001-08-31,2,2,Primary
MC1/News Articles/Homeland Illumination/669.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/681.txt,Homeland Illumination,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,LACK OF DETAILS MARS GOVERNMENT INTENTIONS,2 February  1993,1993-02-02,3,3,Primary
MC1/News Articles/Homeland Illumination/684.txt,Homeland Illumination,"GASTECH TRUCK HITS AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD","GASTECH TRUCK HITS AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD",20 March 2007,2007-03-20,3,3,Primary
MC1/News Articles/Homeland Illumination/69.txt,Homeland Illumination,"ELODIS, KRONOS:  A TOWN IN NEED, Part One","ELODIS, KRONOS: A TOWN IN NEED, PART ONE",19 March 1998,1998-03-19,3,3,Primary
MC1/News Articles/Homeland Illumination/697.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/719.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/73.txt,Homeland Illumination,ELIAN KAREL DEAD IN KRONOS JAIL,ELIAN KAREL DEAD IN KRONOS JAIL,19 June 2009,2009-06-19,3,3,Primary
MC1/News Articles/Homeland Illumination/733.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/737.txt,Homeland Illumination,ELODIS PUBLIC HEALTH FACT SHEET 2004,ELODIS PUBLIC HEALTH FACT SHEET 2004,29 May 2004,2004-05-29,3,3,Primary
MC1/News Articles/Homeland Illumination/738.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,21 January 2014,2014-01-21,37,1,Derivative
MC1/News Articles/Homeland Illumination/743.txt,Homeland Illumination,POK RALLY DRAWS THOUSANDS OF SUPPORTERS,POK RALLY DRAWS THOUSANDS OF SUPPORTERS,7 March 2009,2009-03-07,2,2,Primary
MC1/News Articles/Homeland Illumination/744.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/770.txt,Homeland Illumination,"IN REMEMBRANCE:  THE DEATH OF ELIAN KAREL, A YEAR LATER","IN REMEMBRANCE: THE DEATH OF ELIAN KAREL, A YEAR LATER",19 June 2010,2010-06-19,3,3,Primary
MC1/News Articles/Homeland Illumination/804.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/842.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/87.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/Homeland Illumination/94.txt,Homeland Illumination,VOICES - a blog about what is important to the people,VOICES - A BLOG ABOUT WHAT IS IMPORTANT TO THE PEOPLE,20 January 2014,2014-01-20,37,1,Primary
MC1/News Articles/International News/129.txt,International News,Activists Disrupt Traffic Near Tiskele Bend Fields,ACTIVISTS DISRUPT TRAFFIC NEAR TISKELE BEND FIELDS,2001/08/31,2001-08-31,3,3,Derivative
MC1/News Articles/International News/226.txt,International News,Government Announces Tax Incentives For Foreign Investment,GOVERNMENT ANNOUNCES TAX INCENTIVES FOR FOREIGN INVESTMENT,1993/01/19,1993-01-19,3,3,Derivative
MC1/News Articles/International News/276.txt,International News,Police Hold News Conference on GAStech Kidnapping,POLICE HOLD NEWS CONFERENCE ON GASTECH KIDNAPPING,2014/01/21,2014-01-21,3,3,Primary
MC1/News Articles/International News/29.txt,International News,POK Kidnaps GAStech Employees,POK KIDNAPS GASTECH EMPLOYEES,2014/01/20,2014-01-20,3,3,Primary
MC1/News Articles/International News/333.txt,International News,POK Assault Police in Abila,POK ASSAULT POLICE IN ABILA,2013/12/16,2013-12-16,3,3,Derivative
MC1/News Articles/International News/374.txt,International News,"Annual POK Rally Ends in Riot, Again","ANNUAL POK RALLY ENDS IN RIOT, AGAIN",2013/06/20,2013-06-20,3,3,Primary
MC1/News Articles/International News/423.txt,International News,Protestors Block Traffic to Tiskele Bend Fields,PROTESTORS BLOCK TRAFFIC TO TISKELE BEND FIELDS,2005/04/06,2005-04-06,3,3,Primary
MC1/News Articles/International News/436.txt,International News,GAStech and Kronos Celebrate Partnership,GASTECH AND KRONOS CELEBRATE PARTNERSHIP,2014/01/19,2014-01-19,3,3,Primary
MC1/News Articles/International News/444.txt,International News,Grand Opening of the New GAStech Offices,GRAND OPENING OF THE NEW GASTECH OFFICES,1995/10/11,1995-10-11,3,3,Derivative
MC1/News Articles/International News/499.txt,International News,"POK Labeled a ""Public Threat""","POK LABELED A ""PUBLIC THREAT""",2011/07/28,2011-07-28,3,3,Derivative
MC1/News Articles/International News/547.txt,International News,Araullo Announces New Hospital Construction,ARAULLO ANNOUNCES NEW HOSPITAL CONSTRUCTION,1995/11/21,1995-11-21,3,3,Primary
MC1/News Articles/International News/636.txt,International News,"Added Taxes on Oil, Gas Development Defeated in General Assembly","ADDED TAXES ON OIL, GAS DEVELOPMENT DEFEATED IN GENERAL ASSEMBLY",2001/03/18,2001-03-18,3,3,Derivative
MC1/News Articles/International News/689.txt,International News,GAStech's Sanjorge Escapes Kidnapping at GAStech HQ,GASTECH'S SANJORGE ESCAPES KIDNAPPING AT GASTECH HQ,2014/01/21,2014-01-21,3,3,Primary
MC1/News Articles/International News/742.txt,International News,POK Protest at GAStech Headquarters Ends in Arrests,POK PROTEST AT GASTECH HEADQUARTERS ENDS IN ARRESTS,2009/02/18,2009-02-18,3,3,Primary
MC1/News Articles/International News/75.txt,International News,"Kapelou Calls POK ""A Gang of Criminals""","KAPELOU CALLS POK ""A GANG OF CRIMINALS""",2012/06/22,2012-06-22,3,3,Derivative
MC1/News Articles/International News/767.txt,International News,POK Protest at Abila Police Headquarters,POK PROTEST AT ABILA POLICE HEADQUARTERS,2010/06/21,2010-06-21,3,3,Derivative
MC1/News Articles/International News/768.txt,International News,Tiskele Bend Gas Fields Larger Than First Thought,TISKELE BEND GAS FIELDS LARGER THAN FIRST THOUGHT,1996/03/14,1996-03-14,3,3,Derivative
MC1/News Articles/International News/821.txt,International News,"Minister Nespola Champions Added Taxes on Oil, Gas Development","MINISTER NESPOLA CHAMPIONS ADDED TAXES ON OIL, GAS DEVELOPMENT",1999/07/04,1999-07-04,3,3,Derivative
MC1/News Articles/International News/836.txt,International News,Activist Leader Karel Arrested for Tax Evasion,ACTIVIST LEADER KAREL ARRESTED FOR TAX EVASION,2009/03/12,2009-03-12,3,3,Primary
MC1/News Articles/International News/89.txt,International News,POK Anniversary Rally Ends in Riot,POK ANNIVERSARY RALLY ENDS IN RIOT,2012/06/20,2012-06-20,3,3,Primary
MC1/News Articles/International Times/150.txt,International Times,GAStech,GASTECH,22 February 2013,2013-02-22,4,4,Primary
MC1/News Articles/International Times/167.txt,International Times,GASTech Employees Kidnapped in Kronos,GASTECH EMPLOYEES KIDNAPPED IN KRONOS,21 January 2014  1405,2014-01-21,3,3,Primary
MC1/News Articles/International Times/238.txt,International Times,"Kronos' oil and gas industry has warned it faces its ""biggest challenge in 20 years"" due to the low levels of exploration.","KRONOS' OIL AND GAS INDUSTRY HAS WARNED IT FACES ITS ""BIGGEST CHALLENGE IN 20 YEARS"" DUE TO THE LOW LEVELS OF EXPLORATION.",20 February 2012,2012-02-20,1,1,Primary
MC1/News Articles/International Times/24.txt,International Times,Profile:  Elian Karel,PROFILE: ELIAN KAREL,22 June 2009,2009-06-22,6,6,Primary
MC1/News Articles/International Times/282.txt,International Times,Abila police break up sit-in turned violent at the presidential manor,ABILA POLICE BREAK UP SIT-IN TURNED VIOLENT AT THE PRESIDENTIAL MANOR,20 June 2012,2012-06-20,3,3,Primary
MC1/News Articles/International Times/287.txt,International Times,Interpol has announced the formation of a new multi-country task force,INTERPOL HAS ANNOUNCED THE FORMATION OF A NEW MULTI-COUNTRY TASK FORCE,21 October 2013,2013-10-21,1,1,Primary
MC1/News Articles/International Times/347.txt,International Times,Leadership,LEADERSHIP,4 October 1982,1982-10-04,1,1,Primary
MC1/News Articles/International Times/443.txt,International Times,Global disasters drain charity coffers,GLOBAL DISASTERS DRAIN CHARITY COFFERS,14 November 1999,1999-11-14,1,1,Primary
MC1/News Articles/International Times/506.txt,International Times,Kronos protests break out in violence,KRONOS PROTESTS BREAK OUT IN VIOLENCE,12 November 2013,2013-11-12,2,2,Primary
MC1/News Articles/International Times/514.txt,International Times,Kronos's Protectors of Kronos declared 'terrorist group',KRONOS'S PROTECTORS OF KRONOS DECLARED 'TERRORIST GROUP',22 February 2009,2009-02-22,3,3,Primary
MC1/News Articles/International Times/550.txt,International Times,Four people have died in a fiery road crash near Elodis,FOUR PEOPLE HAVE DIED IN A FIERY ROAD CRASH NEAR ELODIS,18 March 2007,2007-03-18,2,2,Primary
MC1/News Articles/International Times/638.txt,International Times,Centrum's central role in the Tethan Gas Industry,CENTRUM'S CENTRAL ROLE IN THE TETHAN GAS INDUSTRY,2 October 1982,1982-10-02,3,3,Primary
MC1/News Articles/International Times/651.txt,International Times,Abila Hospitals Seeing Influx of Designer Drug Users,ABILA HOSPITALS SEEING INFLUX OF DESIGNER DRUG USERS,7 February 2013,2013-02-07,2,2,Primary
MC1/News Articles/International Times/751.txt,International Times,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,SHALE GAS PIONEER PLANS WORLD'S FIRST OFFSHORE WELLS IN MEDITERRANEAN SEA,3 May 1984,1984-05-03,3,3,Primary
MC1/News Articles/Kronos Star/130.txt,Kronos Star,"Annual POK Rally Ends in Riot, Again","ANNUAL POK RALLY ENDS IN RIOT, AGAIN",20 June 2013,2013-06-20,3,3,Primary
MC1/News Articles/Kronos Star/163.txt,Kronos Star,Breaking: Emergency at GAStech Headquarters Building [Updates],BREAKING: EMERGENCY AT GASTECH HEADQUARTERS BUILDING [UPDATES],20 January 2014,2014-01-20,35,1,Primary
MC1/News Articles/Kronos Star/168.txt,Kronos Star,POK Protest at GAStech Headquarters Ends in Arrests,POK PROTEST AT GASTECH HEADQUARTERS ENDS IN ARRESTS,18 February 2009,2009-02-18,3,3,Primary
MC1/News Articles/Kronos Star/174.txt,Kronos Star,GAStech and Kronos Celebrate Partnership,GASTECH AND KRONOS CELEBRATE PARTNERSHIP,19 January 2014,2014-01-19,3,3,Primary
MC1/News Articles/Kronos Star/181.txt,Kronos Star,POK Assault Police in Abila,POK ASSAULT POLICE IN ABILA,15 December 2013,2013-12-15,3,3,Primary
MC1/News Articles/Kronos Star/246.txt,Kronos Star,"Added Taxes on Oil, Gas Development Defeated in General Assembly","ADDED TAXES ON OIL, GAS DEVELOPMENT DEFEATED IN GENERAL ASSEMBLY",17 March 2001,2001-03-17,3,3,Primary
MC1/News Articles/Kronos Star/273.txt,Kronos Star,Activists Disrupt Traffic Near Tiskele Bend Fields,ACTIVISTS DISRUPT TRAFFIC NEAR TISKELE BEND FIELDS,30 August 2001,2001-08-30,3,3,Primary
MC1/News Articles/Kronos Star/28.txt,Kronos Star,POK Protesters Vandalize Siopa District,POK PROTESTERS VANDALIZE SIOPA DISTRICT,20 June 2011,2011-06-20,2,2,Primary
MC1/News Articles/Kronos Star/281.txt,Kronos Star,Breaking: Emergency at GAStech Headquarters Building [Updates],BREAKING: EMERGENCY AT GASTECH HEADQUARTERS BUILDING [UPDATES],20 January 2014,2014-01-20,35,1,Primary
MC1/News Articles/Kronos Star/289.txt,Kronos Star,Breaking: Emergency at GAStech Headquarters Building [Updates],BREAKING: EMERGENCY AT GASTECH HEADQUARTERS BUILDING [UPDATES],20 January 2014,2014-01-20,35,1,Primary
MC1/News Articles/Kronos Star/298.txt,Kronos Star,Breaking: Emergency at GAStech Headquarters Building [Updates],BREAKING: EMERGENCY AT GASTECH HEADQUARTERS BUILDING [UPDATES],20 January 2014,2014-01-20,35,1,Primary
MC1/News Articles/Kronos Star/306.txt,Kronos Star,Minister of Health Dies Suddenly,MINISTER OF HEALTH DIES SUDDENLY,14 June 2001,2001-06-14,2,2,Primary
MC1/News Articles/Kronos Star/31.txt,Kronos Star,Breaking: Emergency at GAStech Headquarters Building [Updates],BREAKING: EMERGENCY AT GASTECH HEADQUARTERS BUILDING [UPDATES],20 January 2014,2014-01-20,35,1,Primary
MC1/News Articles/Kronos Star/321.txt,Kronos Star,Breaking: Emergency at GAStech Headquarters Building [Updates],BREAKING: EMERGENCY AT GASTECH HEADQUARTERS BUILDING [UPDATES],20 January 2014,2014-01-20,35,1,Primary
